raw,PL,RI,CO,SH,ME,IM,TW,CF,SP
22,100,100,100,95,100,100,100,100,100
21,100,100,100,93,100,100,100,100,100
20,100,100,100,92,100,100,100,100,100
19,100,100,100,89,100,100,100,100,100
18,100,100,100,87,100,100,100,100,100
17,100,100,100,86,100,100,100,100,100
16,100,100,95,83,100,93,100,100,100
15,95,95,93,79,100,91,95,100,100
14,93,90,91,75,100,86,94,100,95
13,92,86,90,71,94,83,89,93,92
12,90,83,86,64,92,77,83,89,89
11,86,77,82,55,89,68,79,85,85
10,84,71,80,50,82,61,74,83,77
9,82,66,72,45,72,49,67,78,74
8,75,58,64,36,61,36,60,72,69
7,64,49,55,30,52,29,49,67,64
6,53,38,48,23,41,19,37,56,53
5,45,32,29,18,31,14,27,51,46
4,38,23,19,12,23,8,19,41,30
3,25,16,11,6,12,4,12,31,24
2,16,7,6,4,4,2,6,18,11
1,8,3,3,1,1,1,1,11,8
0,0,0,0,0,0,0,0,0,0
